FIGHTER,fights_recorded,total_kd,total_sig_landed,total_sig_attempted,total_td_landed,total_td_attempted,total_sub_att,total_ctrl_seconds,sig_str_per_fight,sig_str_accuracy,td_accuracy,ctrl_min_per_fight
AJ Cunningham,2,0.0,52,127,0,0,1.0,26.0,26.0,40.9,,0.2
AJ Dobson,4,0.0,192,431,5,6,0.0,424.0,48.0,44.5,83.3,1.8
AJ Fletcher,4,0.0,153,313,4,12,3.0,612.0,38.2,48.9,33.3,2.6
Aalon Cruz,2,0.0,2,15,0,3,0.0,16.0,1.0,13.3,0.0,0.1
Aaron Brink,1,0.0,0,5,0,1,0.0,4.0,0.0,0.0,0.0,0.1
Aaron Phillips,4,0.0,79,148,3,6,2.0,434.0,19.8,53.4,50.0,1.8
Aaron Pico,2,0.0,113,210,8,16,0.0,326.0,56.5,53.8,50.0,2.7
Aaron Riley,9,0.0,314,904,8,23,1.0,1115.0,34.9,34.7,34.8,2.1
Aaron Rosa,3,0.0,132,290,0,1,0.0,61.0,44.0,45.5,0.0,0.3
Aaron Simpson,11,6.0,454,860,32,92,4.0,3206.0,41.3,52.8,34.8,4.9
Aaron Wilkinson,1,0.0,0,1,1,1,0.0,64.0,0.0,0.0,100.0,1.1
Abdul Hussein,1,1.0,65,99,1,2,3.0,467.0,65.0,65.7,50.0,7.8
Abdul Rakhman Yakhyaev,3,2.0,19,33,3,4,2.0,143.0,6.3,57.6,75.0,0.8
Abdul Razak Alhassan,14,9.0,315,632,5,15,1.0,771.0,22.5,49.8,33.3,0.9
Abdul-Kareem Al-Selwady,2,0.0,119,214,3,11,0.0,183.0,59.5,55.6,27.3,1.5
Abdul-Kerim Edilov,1,0.0,77,125,2,2,1.0,333.0,77.0,61.6,100.0,5.6
Abel Trujillo,11,3.0,273,662,15,33,3.0,1135.0,24.8,41.2,45.5,1.7
Abner Lloveras,1,0.0,94,189,2,10,0.0,173.0,94.0,49.7,20.0,2.9
Abu Azaitar,3,0.0,197,453,3,8,0.0,351.0,65.7,43.5,37.5,2.0
Abubakar Nurmagomedov,4,0.0,133,250,4,18,0.0,1219.0,33.2,53.2,22.2,5.1
Abubakar Vagaev,1,0.0,27,70,4,10,0.0,466.0,27.0,38.6,40.0,7.8
Abus Magomedov,8,2.0,239,491,13,22,3.0,1210.0,29.9,48.7,59.1,2.5
Adam Cella,1,0.0,2,12,0,0,0.0,0.0,2.0,16.7,,0.0
Adam Fugitt,6,0.0,224,479,5,22,0.0,350.0,37.3,46.8,22.7,1.0
Adam Milstead,4,0.0,127,271,0,0,0.0,20.0,31.8,46.9,,0.1
Adam Wieczorek,3,0.0,62,160,1,3,1.0,265.0,20.7,38.8,33.3,1.5
Adam Yandiev,1,0.0,1,12,0,0,0.0,0.0,1.0,8.3,,0.0
Adlan Amagov,2,1.0,53,125,6,11,0.0,274.0,26.5,42.4,54.5,2.3
Adrian Luna Martinetti,1,0.0,99,196,1,5,0.0,43.0,99.0,50.5,20.0,0.7
Adrian Serrano,1,0.0,6,23,0,2,0.0,187.0,6.0,26.1,0.0,3.1
Adrian Yanez,11,8.0,504,1207,0,1,0.0,124.0,45.8,41.8,0.0,0.2
Adriano Martins,7,2.0,103,234,4,5,2.0,376.0,14.7,44.0,80.0,0.9
Adriano Santos,1,0.0,11,36,2,3,0.0,0.0,11.0,30.6,66.7,0.0
Aiemann Zahabi,11,3.0,582,1210,1,7,0.0,333.0,52.9,48.1,14.3,0.5
Ailin Perez,7,1.0,256,455,29,59,1.0,2376.0,36.6,56.3,49.2,5.7
Aisling Daly,3,0.0,102,196,5,12,2.0,1268.0,34.0,52.0,41.7,7.0
Akbarh Arreola,4,2.0,97,214,3,3,1.0,174.0,24.2,45.3,100.0,0.7
Akihiro Gono,3,1.0,90,171,4,5,1.0,341.0,30.0,52.6,80.0,1.9
Akira Corassani,6,0.0,139,307,2,7,0.0,294.0,23.2,45.3,28.6,0.8
Al Iaquinta,15,7.0,774,1909,8,43,3.0,683.0,51.6,40.5,18.6,0.8
Alan Baudot,4,1.0,167,285,0,0,0.0,165.0,41.8,58.6,,0.7
Alan Belcher,15,3.0,372,889,4,15,8.0,1580.0,24.8,41.8,26.7,1.8
Alan Jouban,13,9.0,663,1318,4,9,2.0,480.0,51.0,50.3,44.4,0.6
Alan Omer,2,0.0,93,167,3,7,0.0,387.0,46.5,55.7,42.9,3.2
Alan Patrick,10,1.0,209,513,23,69,2.0,2531.0,20.9,40.7,33.3,4.2
Alatengheili,9,1.0,340,1039,14,32,0.0,1026.0,37.8,32.7,43.8,1.9
Albert Cheng,1,0.0,5,12,0,1,0.0,6.0,5.0,41.7,0.0,0.1
Albert Duraev,4,0.0,157,390,6,23,1.0,757.0,39.2,40.3,26.1,3.2
Albert Morales,6,0.0,278,805,3,8,0.0,732.0,46.3,34.5,37.5,2.0
Albert Tumenov,8,5.0,279,664,1,5,0.0,163.0,34.9,42.0,20.0,0.3
Alberta Cerra Leon,1,0.0,1,3,0,0,0.0,0.0,1.0,33.3,,0.0
Alberto Crane,2,1.0,8,32,0,11,5.0,269.0,4.0,25.0,0.0,2.2
Alberto Mina,4,3.0,131,336,5,24,0.0,250.0,32.8,39.0,20.8,1.0
Alberto Montes,2,0.0,88,205,0,0,1.0,21.0,44.0,42.9,,0.2
Alberto Uda,2,0.0,19,36,2,4,0.0,296.0,9.5,52.8,50.0,2.5
Alden Coria,4,0.0,207,492,8,13,4.0,635.0,51.8,42.1,61.5,2.6
Alejandro Perez,13,1.0,479,1344,5,22,3.0,529.0,36.8,35.6,22.7,0.7
Aleksa Camur,4,0.0,267,479,2,9,0.0,387.0,66.8,55.7,22.2,1.6
Aleksandar Rakic,12,4.0,556,1100,5,23,1.0,2427.0,46.3,50.5,21.7,3.4
Aleksandra Albu,4,0.0,191,405,6,12,1.0,380.0,47.8,47.2,50.0,1.6
Aleksandre Topuria,2,0.0,88,160,3,9,0.0,442.0,44.0,55.0,33.3,3.7
Aleksei Kunchenko,4,0.0,220,496,1,3,0.0,129.0,55.0,44.4,33.3,0.5
Aleksei Oleinik,17,2.0,380,777,14,30,15.0,2112.0,22.4,48.9,46.7,2.1
Alen Amedovski,4,0.0,20,66,0,0,0.0,13.0,5.0,30.3,,0.1
Alessandro Costa,9,4.0,289,618,5,19,6.0,479.0,32.1,46.8,26.3,0.9
Alessio Di Chirico,11,3.0,375,944,11,28,0.0,707.0,34.1,39.7,39.3,1.1
Alessio Sakara,15,4.0,299,626,11,14,0.0,1233.0,19.9,47.8,78.6,1.4
Alex Andrade,1,1.0,12,27,0,1,0.0,93.0,12.0,44.4,0.0,1.6
Alex Caceres,30,5.0,1519,3040,13,19,16.0,2650.0,50.6,50.0,68.4,1.5
Alex Chambers,5,0.0,135,250,7,17,3.0,622.0,27.0,54.0,41.2,2.1
