EVENT,DATE,year,fighter_1,fighter_2,winner,loser,result_type,weightclass,weight_division,METHOD,method_simple,ROUND,TIME,LOCATION
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Islam Makhachev,Ian Machado Garry,Islam Makhachev,Ian Machado Garry,승패,UFC Welterweight Title Bout,Welterweight,Decision - Unanimous ,Decision,5,5:00,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Mackenzie Dern,Gillian Robertson,Mackenzie Dern,Gillian Robertson,승패,UFC Women's Strawweight Title Bout,Women's Strawweight,Decision - Unanimous ,Decision,5,5:00,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Jalin Turner,Kaue Fernandes,Jalin Turner,Kaue Fernandes,승패,Lightweight Bout,Lightweight,KO/TKO ,KO/TKO,1,0:39,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Mansur Abdul-Malik,Dustin Stoltzfus,Dustin Stoltzfus,Mansur Abdul-Malik,승패,Middleweight Bout,Middleweight,Submission ,Submission,2,4:25,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Edson Barboza,Esteban Ribovics,Esteban Ribovics,Edson Barboza,승패,Lightweight Bout,Lightweight,KO/TKO ,KO/TKO,2,1:32,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Chidi Njokuani,Joel Alvarez,Chidi Njokuani,Joel Alvarez,승패,Welterweight Bout,Welterweight,Decision - Unanimous ,Decision,3,5:00,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Charles Johnson,Eduardo Chapolin,Charles Johnson,Eduardo Chapolin,승패,Catch Weight Bout,Catch Weight,Submission ,Submission,3,1:36,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Donte Johnson,Eric McConico,Donte Johnson,Eric McConico,승패,Middleweight Bout,Middleweight,KO/TKO ,KO/TKO,1,1:38,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Vicente Luque,Tresean Gore,Tresean Gore,Vicente Luque,승패,Middleweight Bout,Middleweight,Decision - Unanimous ,Decision,3,5:00,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Rafael Tobias,Lucas Fernando,Lucas Fernando,Rafael Tobias,승패,Light Heavyweight Bout,Light Heavyweight,KO/TKO ,KO/TKO,3,1:10,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Neil Magny,Ramiz Brahimaj,Neil Magny,Ramiz Brahimaj,승패,Welterweight Bout,Welterweight,KO/TKO ,KO/TKO,2,3:20,"Philadelphia, Pennsylvania, USA"
UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026.0,Jeremiah Wells,Myktybek Orolbai,Jeremiah Wells,Myktybek Orolbai,승패,Welterweight Bout,Welterweight,Submission ,Submission,3,1:24,"Philadelphia, Pennsylvania, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Mateusz Gamrot,Quillan Salkilld,Quillan Salkilld,Mateusz Gamrot,승패,Lightweight Bout,Lightweight,Submission ,Submission,1,4:25,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Diego Ferreira,Billy Quarantillo,Diego Ferreira,Billy Quarantillo,승패,Lightweight Bout,Lightweight,Decision - Unanimous ,Decision,3,5:00,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Darren Elkins,Yadier del Valle,Yadier del Valle,Darren Elkins,승패,Featherweight Bout,Featherweight,KO/TKO ,KO/TKO,1,0:35,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Amanda Lemos,Alexia Thainara,Alexia Thainara,Amanda Lemos,승패,Women's Strawweight Bout,Women's Strawweight,Decision - Unanimous ,Decision,3,5:00,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Billy Ray Goff,Ty Miller,Ty Miller,Billy Ray Goff,승패,Welterweight Bout,Welterweight,KO/TKO ,KO/TKO,3,0:15,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Steven Asplund,Guilherme Pat,Steven Asplund,Guilherme Pat,승패,Heavyweight Bout,Heavyweight,Decision - Unanimous ,Decision,3,5:00,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Diyar Nurgozhay,Bruno Lopes,Diyar Nurgozhay,Bruno Lopes,승패,Light Heavyweight Bout,Light Heavyweight,KO/TKO ,KO/TKO,1,4:59,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Louie Sutherland,Jose Montanha,Jose Montanha,Louie Sutherland,승패,Heavyweight Bout,Heavyweight,Submission ,Submission,1,1:50,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Manoel Sousa,Richie Miranda,Manoel Sousa,Richie Miranda,승패,Lightweight Bout,Lightweight,Decision - Unanimous ,Decision,3,5:00,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Miles Johns,Gianni Vazquez,Miles Johns,Gianni Vazquez,승패,Featherweight Bout,Featherweight,KO/TKO ,KO/TKO,1,3:09,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Juliana Miller,Ravena Oliveira,Juliana Miller,Ravena Oliveira,승패,Women's Flyweight Bout,Women's Flyweight,Submission ,Submission,2,1:38,"Las Vegas, Nevada, USA"
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026.0,Gigi Canuto,Carol Foro,Carol Foro,Gigi Canuto,승패,Women's Strawweight Bout,Women's Strawweight,Decision - Unanimous ,Decision,3,5:00,"Las Vegas, Nevada, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Diego Lopes,Jean Silva,Diego Lopes,Jean Silva,승패,Featherweight Bout,Featherweight,KO/TKO ,KO/TKO,2,4:48,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Rob Font,David Martinez,David Martinez,Rob Font,승패,Bantamweight Bout,Bantamweight,Decision - Unanimous ,Decision,3,5:00,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Rafa Garcia,Jared Gordon,Rafa Garcia,Jared Gordon,승패,Lightweight Bout,Lightweight,KO/TKO ,KO/TKO,3,2:27,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Kelvin Gastelum,Dustin Stoltzfus,Kelvin Gastelum,Dustin Stoltzfus,승패,Middleweight Bout,Middleweight,Decision - Unanimous ,Decision,3,5:00,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Alexander Hernandez,Diego Ferreira,Alexander Hernandez,Diego Ferreira,승패,Lightweight Bout,Lightweight,KO/TKO ,KO/TKO,2,3:46,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Santiago Luna,Quang Le,Santiago Luna,Quang Le,승패,Bantamweight Bout,Bantamweight,KO/TKO ,KO/TKO,1,2:48,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Jose Daniel Medina,Dusko Todorovic,Dusko Todorovic,Jose Daniel Medina,승패,Middleweight Bout,Middleweight,Submission ,Submission,1,4:21,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Claudio Puelles,Joaquim Silva,Joaquim Silva,Claudio Puelles,승패,Lightweight Bout,Lightweight,Decision - Split ,Decision,3,5:00,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Tatiana Suarez,Amanda Lemos,Tatiana Suarez,Amanda Lemos,승패,Women's Strawweight Bout,Women's Strawweight,Decision - Unanimous ,Decision,3,5:00,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Jesus Aguilar,Luis Gurule,Jesus Aguilar,Luis Gurule,승패,Flyweight Bout,Flyweight,Decision - Unanimous ,Decision,3,5:00,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Zach Reese,Sedriques Dumas,,,노콘테스트,Middleweight Bout,Middleweight,Could Not Continue ,기타,1,0:51,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Alessandro Costa,Alden Coria,Alden Coria,Alessandro Costa,승패,Flyweight Bout,Flyweight,KO/TKO ,KO/TKO,3,0:47,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Montse Rendon,Alice Pereira,Montse Rendon,Alice Pereira,승패,Women's Bantamweight Bout,Women's Bantamweight,Decision - Split ,Decision,3,5:00,"San Antonio, Texas, USA"
Noche UFC: Lopes vs. Silva,2025-09-13,2025.0,Rodrigo Sezinando,Daniil Donchenko,Daniil Donchenko,Rodrigo Sezinando,승패,Ultimate Fighter 33 Welterweight Tournament Title Bout,Welterweight,KO/TKO ,KO/TKO,1,4:27,"San Antonio, Texas, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Alexa Grasso,Valentina Shevchenko,,,무승부,UFC Women's Flyweight Title Bout,Women's Flyweight,Decision - Split ,Decision,5,5:00,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Kevin Holland,Jack Della Maddalena,Jack Della Maddalena,Kevin Holland,승패,Welterweight Bout,Welterweight,Decision - Split ,Decision,3,5:00,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Raul Rosas Jr.,Terrence Mitchell,Raul Rosas Jr.,Terrence Mitchell,승패,Bantamweight Bout,Bantamweight,KO/TKO ,KO/TKO,1,0:54,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Daniel Zellhuber,Christos Giagos,Daniel Zellhuber,Christos Giagos,승패,Lightweight Bout,Lightweight,Submission ,Submission,2,3:26,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Fernando Padilla,Kyle Nelson,Kyle Nelson,Fernando Padilla,승패,Featherweight Bout,Featherweight,Decision - Unanimous ,Decision,3,5:00,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Loopy Godinez,Elise Reed,Loopy Godinez,Elise Reed,승패,Women's Strawweight Bout,Women's Strawweight,Submission ,Submission,2,3:38,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Roman Kopylov,Josh Fremd,Roman Kopylov,Josh Fremd,승패,Middleweight Bout,Middleweight,KO/TKO ,KO/TKO,2,4:44,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Edgar Chairez,Daniel Lacerda,,,노콘테스트,Flyweight Bout,Flyweight,Overturned ,기타,1,3:47,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Tracy Cortez,Jasmine Jasudavicius,Tracy Cortez,Jasmine Jasudavicius,승패,Women's Flyweight Bout,Women's Flyweight,Decision - Unanimous ,Decision,3,5:00,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Alex Reyes,Charlie Campbell,Charlie Campbell,Alex Reyes,승패,Lightweight Bout,Lightweight,KO/TKO ,KO/TKO,1,3:38,"Las Vegas, Nevada, USA"
Noche UFC: Grasso vs. Shevchenko 2,2023-09-16,2023.0,Josefine Knutsson,Marnic Mann,Josefine Knutsson,Marnic Mann,승패,Women's Strawweight Bout,Women's Strawweight,Decision - Unanimous ,Decision,3,5:00,"Las Vegas, Nevada, USA"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Uros Medic,Daniel Rodriguez,Uros Medic,Daniel Rodriguez,승패,Welterweight Bout,Welterweight,KO/TKO ,KO/TKO,1,0:30,"Belgrade, Vojvodina, Serbia"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Jan Blachowicz,Navajo Stirling,Navajo Stirling,Jan Blachowicz,승패,Light Heavyweight Bout,Light Heavyweight,KO/TKO ,KO/TKO,1,2:56,"Belgrade, Vojvodina, Serbia"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Aleksandar Rakic,Marcin Tybura,Aleksandar Rakic,Marcin Tybura,승패,Heavyweight Bout,Heavyweight,Decision - Unanimous ,Decision,3,5:00,"Belgrade, Vojvodina, Serbia"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Dusko Todorovic,Robert Valentin,Robert Valentin,Dusko Todorovic,승패,Middleweight Bout,Middleweight,Submission ,Submission,1,4:14,"Belgrade, Vojvodina, Serbia"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Vlasto Cepo,Gilbert Urbina,Gilbert Urbina,Vlasto Cepo,승패,Middleweight Bout,Middleweight,KO/TKO ,KO/TKO,1,1:01,"Belgrade, Vojvodina, Serbia"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Milos Janicic,Noah Gugnon,Noah Gugnon,Milos Janicic,승패,Lightweight Bout,Lightweight,Submission ,Submission,1,1:21,"Belgrade, Vojvodina, Serbia"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Ludovit Klein,Tofiq Musayev,Tofiq Musayev,Ludovit Klein,승패,Lightweight Bout,Lightweight,KO/TKO ,KO/TKO,2,4:07,"Belgrade, Vojvodina, Serbia"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Oban Elliott,Michael Oliveira,Michael Oliveira,Oban Elliott,승패,Welterweight Bout,Welterweight,KO/TKO ,KO/TKO,1,1:49,"Belgrade, Vojvodina, Serbia"
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026.0,Borislav Nikolic,Mark Vologdin,Borislav Nikolic,Mark Vologdin,승패,Bantamweight Bout,Bantamweight,Decision - Unanimous ,Decision,3,5:00,"Belgrade, Vojvodina, Serbia"
